Entry ID,Magic EXP,Chara. 0 ID,[Chara. 0 Name],Chara. 0 X,Chara. 0 Z,Chara. 1 ID,[Chara. 1 Name],Chara. 1 X,Chara. 1 Z,Chara. 2 ID,[Chara. 2 Name],Chara. 2 X,Chara. 2 Z,Chara. 3 ID,[Chara. 3 Name],Chara. 3 X,Chara. 3 Z,Enemy 0 ID,[JP Enemy 0 Name],[US Enemy 0 Name],Enemy 0 X,Enemy 0 Z,Enemy 1 ID,[JP Enemy 1 Name],[US Enemy 1 Name],Enemy 1 X,Enemy 1 Z,Enemy 2 ID,[JP Enemy 2 Name],[US Enemy 2 Name],Enemy 2 X,Enemy 2 Z,Enemy 3 ID,[JP Enemy 3 Name],[US Enemy 3 Name],Enemy 3 X,Enemy 3 Z,Enemy 4 ID,[JP Enemy 4 Name],[US Enemy 4 Name],Enemy 4 X,Enemy 4 Z,Enemy 5 ID,[JP Enemy 5 Name],[US Enemy 5 Name],Enemy 5 X,Enemy 5 Z,Enemy 6 ID,[JP Enemy 6 Name],[US Enemy 6 Name],Enemy 6 X,Enemy 6 Z,Initiative,Defeat Cond. ID,[Defeat Cond. Name],Escape Cond. ID,[Escape Cond. Name],BGM ID
18,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,0,Must not lose,0,Can escape,61
19,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,0,Must not lose,0,Can escape,61
20,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,0,Must not lose,0,Can escape,60
21,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,0,Must not lose,0,Can escape,60
22,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,0,Must not lose,0,Can escape,60
23,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,0,Must not lose,0,Can escape,60
24,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,0,Must not lose,0,Can escape,60
25,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,0,Must not lose,0,Can escape,60
26,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,0,Must not lose,0,Can escape,61
27,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,0,Must not lose,0,Can escape,61
28,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,0,Must not lose,0,Can escape,60
29,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,0,Must not lose,0,Can escape,61
30,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,0,Must not lose,0,Can escape,61
31,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,0,Must not lose,0,Can escape,62
32,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,0,Must not lose,0,Can escape,58
33,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,0,Must not lose,0,Can escape,58
34,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,0,Must not lose,0,Can escape,58
35,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,0,Must not lose,0,Can escape,58
36,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,0,Must not lose,0,Can escape,58
37,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,0,Must not lose,0,Can escape,58
38,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,0,Must not lose,0,Can escape,59
39,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,0,Must not lose,0,Can escape,58
40,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,0,Must not lose,0,Can escape,58
41,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,0,Must not lose,0,Can escape,58
42,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,0,Must not lose,0,Can escape,59
43,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,0,Must not lose,0,Can escape,58
44,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,0,Must not lose,0,Can escape,58
45,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,0,Must not lose,0,Can escape,58
46,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,0,Must not lose,0,Can escape,58
47,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,0,Must not lose,0,Can escape,58
48,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,0,Must not lose,0,Can escape,61
49,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,0,Must not lose,0,Can escape,61
50,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,0,Must not lose,0,Can escape,62
51,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,0,Must not lose,0,Can escape,61
52,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,0,Must not lose,0,Can escape,61
53,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,0,Must not lose,0,Can escape,62
54,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,0,Must not lose,0,Can escape,58
55,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,0,Must not lose,0,Can escape,58
56,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,0,Must not lose,0,Can escape,58
57,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,0,Must not lose,0,Can escape,58
58,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,0,Must not lose,0,Can escape,58
59,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,0,Must not lose,0,Can escape,-1
